1mvid8s	replacing junior devs with AI, AI budget cannibalizing headcount, tide shifting claim disputed
1m7zvlx	Trump stop hiring Indians, companies hired India same day, rhetoric without enforcement
1ohnh7q	pandemic overhiring excuse exhausted, Amazon 30k layoffs, workers as expendable pawns
1mrujpf	likeable beats productive in big tech, stressed workers get PR review hell, stress kills output
1m1uw9v	AI agent completed Jira ticket, scared about near-term displacement, AI excels at small discrete tasks
1mcop22	ghost jobs in listings, Leetcode grind no mentorship, CS degree market broken
1mk8zj6	ChatGPT 5 marginal improvement, LLM hitting capability ceiling, AI not replacing engineers yet
1lpwy62	FAANG no longer stable career, Microsoft layoffs normalized, constant fear of arbitrary cuts
1rteomh	vibe coder can't explain own code, AI regenerating not debugging, interviews can't screen it
1r5my44	cheating via screen share caught, broken interview structure rewarding memorization, communication over code
1tchmgq	CFO $29.5M same call as headcount cuts, AI-efficiency language masking layoffs, workers as cost line
1s8qy30	cold layoff email 6am, 30 percent unit reduction, debt-driven workforce cuts
1ma4i05	stop hiring Indians rhetoric, offshoring vs H1B conflated, Congress unlikely to act
1qpcc2d	Amazon 16k on top of 14k layoffs, executives not resigning with workers, minimum annual churn policy
1mdcl9n	AI ethics vacuum in tech, engineers detached from social contract, enshittification accelerating
1n6nk56	AI bubble like dotcom, under-hiring due to AI replacement fear, offshoring accelerates if bubble pops
1ojbebq
1rt62gb	Meta 20 percent AI pivot layoffs, devs burning out to prove AI productivity, traditional engineering sidelined
1mmx040	CS grads double unemployment rate, AI doom loop applications, junior roles eliminated
1qc7ake	Meta Reality Labs 1500 layoffs, metaverse bet unwinding, stack ranking easing
1tkccsi	senior engineers stopped thinking for themselves, AI-approved PR caused race condition, staff engineer can't explain own code
1ozlobb	toxic manager escape, studied hard to get out, big tech offer after grinding
1o479rh	typed Leetcode editorial verbatim, fake power outage cheating, interview process breakdown
1sxyx3n	CS enrollment dropping fastest, gold rush narrative dead, ME and EE absorbing overflow
1udssl4	North Korean identity fraud hired, passed background checks with stolen identity, remote job verification gap
