1oft1b5	govt data not accessible, road contractor accountability, RTI ignored
1nw0yj9
1sv9mwm
1p8k684	unpaid internship termination, 28 days free labor, startup exploitation
1pfnn0x	after-hours work calls, right to disconnect bill, manager ignores boundaries
1t5xr2o
1tvg8jn	Oracle mass layoff, daily DSA grind recovery, tier-1 college advantage
1oeua90	ghosted after interviews, laid off one year jobless, six months experience barrier
1obonv6	oncall on holiday, manager dismissed warning, AWS outage helplessness
1mknxjx	daily office during notice period, no WFH after resignation, HR forces commute
1lzl3hx	whole team replaced by AI, Microsoft AI-first restructuring, "AI creates jobs" backlash
1o22u1k
1pqjore
1p06g8t	safety risk for civic transparency builders, road contract data inaccessible
1qqd37p	150 applications daily, tier-3 college disadvantage, salary not scaling with skill
1nhbs59	Leetcode grind not landing jobs, job-hopping resume red flag
1nv4vkb	IT career cliff after 40, no safety net, high tax squeeze
1sd1mk9
1p2l3y8	GPU vs CPU training speedup
1mtzb36	vibe coding exposed bad security, usage tracking as separate API, bypassed usage limit
1oo6ml7
1u81t0h	90 percent tech team laid off, frontend replaced by Claude code, AI-enabled restructuring
1nln213	H1-B fee hike impact, Indian job market oversupply, brain drain reversal
1qcvz7o	bloated mobile PDF apps, lightweight native alternative
1q3g7to	dollar-to-INR salary arbitrage, tier-4 college freelance success, finding foreign clients
