1o5w834	employer ghosting candidates, mandatory pay range disclosure, AI use disclosure required
1s0fm90	AI-drafted employee complaints, bad AI legal advice, unedited copy-paste complaints
1sedxcc	unqualified candidate entitlement, hostile rejection response
1qfq40e	HR perceived as useless, zero revenue department myth
1s9sak7	HR can't do April Fools
1mi8vnz	four-day work week pitch, coverage and output concerns, retention and burnout data
1ra7mwd	skipped-over employee refusing to train replacement, age discrimination suspicion
1r9403h	employee flirting with HR, self-terminating over it
1slf670	surprise lawyer at disciplinary meeting, HR froze under legal pressure
1m2dpgy	CEO and CPO caught cheating, conflict of interest in HR investigation
1noofdl	employee conducted own hygiene investigation, dismissed HR's finding
1rean2l	solo HR department burnout, no admin support
1qc5srv	early W-2 requests flooding HR, employees ignoring self-service portals
1oqvzo0	underpaid employee used company card, pay equity flagged through empathy
1tpfie6	SPHR passed last-minute, exam is reading comprehension not recall
1q3g8zb	W-2 season HR chaos, employees forgot their mailing address
1o7drib	all-male termination panel complaint, gender dynamic oversight
1pfc8cw	SHRM racial discrimination verdict, SHRM credibility collapse
1noh7z3	toxic leader termination, employees feared physical retaliation post-firing
1oe8him	resume keyword gaming, soft-skill assessment gap, EQ invisible until hired
1qqb9kh	bizarre resume interests, name change not reported, employee self-relocates without notice
1lw0f9a	age-restricted job posting, illegal hiring criteria published publicly
1pvey5r	HR blamed for everything management decides, holiday venting
1qei6om	AI tone-softening blunt HR messages, corporate-speak as emotional labor outsourcing
1sckmxd	relationship PIP as workplace joke, HR jargon applied to personal life
