1mkkvrb	interview cancelled after position filled, no communication to candidate
1mxgbxi	interviewer asking candidates to admit illegal acts, walked out of interview
1n1sfym	six rounds for underpaid role, candidate rejecting company, exhausting interview gauntlet
1rvkcwo	no-right-answer interview question, interviewer transparency about evaluation criteria
1nq7ns4	eight interviews over six months, candidate withdrawing after serial ghosting on offer, process insulting candidate's time
1pbh79a	abusive interviewer demanding unpaid overtime, toxic boss red flags in interview
1mrjz3v	startup creating custom role mid-interview, unexpected promotion during process
1mhy26c	home interruption during zoom interview, remote interview etiquette
1nhk08h	strategic end-of-interview question, asking about top performer traits
1oto36c	free work demanded before offer, interview free-work extraction scam
1mrg1k0	ChatGPT detected live during interview, reading AI answers verbatim
1lzrd8r	rejected then recalled after first pick declined, second-choice candidate confusion
1my63u8	rejected for being a gamer stereotype, post-interview transcript accidentally shared with candidate, discriminatory rejection reason
1n8g50s	offer lowballed after 7 months unemployment, startup bait-and-switch on salary
1ovyd48	promoted on the spot during interview, role upgraded unexpectedly
1opbf1c	commission structure impossible to hit, zero earners on record, deceptive compensation
1no2id4	toxic interviewer refusing camera, dismissive senior leadership, withdrew after second round
1o95zv3	startup CEO rejecting candidates with girlfriends, illegal marital-status discrimination
1nt8eko	senior role downgraded at offer stage, bait-and-switch after three months, salary cut by half
1lv8vjn	asking salary triggering interviewer hostility, companies hiding pay ranges
1sfuaro	sophisticated LinkedIn job scam impersonating JPMorgan, fake recruiter funneling to paid resume consultant
1o36mjj	salary posted 40% higher than actual, bait-and-switch job posting, misleading Indeed listing
1rv81ia	counteroffer met with guilt trip, startup mission manipulation, negotiation reveals company's view of labor
1pq5gaz	interviewer refusing to address female candidate directly, dismissive gendered behavior in interview
1oexljh	startup CEO conducting interview for personality fit only, vague rejection email, no skills assessment
