1ta5a5o	LinkedIn cold outreach, ghosted after connection, AI-generated message accepted
1pig7u1	intern title for years, employer-sanctioned title inflation, never received raise
1m88t4b	resume gap stigma, bad interview question
1rujqw4	fired by family, termination vs. quit confusion
1ms8qvp	ATS keyword mismatch, ghost job listings, applying while overqualified
1pc4i3t	photo on resume rejected, limited availability kills chances
1skes0r	mass applying kills rate, keyword mirroring works, $300 resume tailoring services
1t2w2ql	rambling tell-me-yourself answers, unstructured career pitch
1s48g1j	resume signals age discrimination, outdated email addresses hurt, listing full career history
1p6f8zb	resume as history not pitch, burying senior accomplishments
1t47ng7	accidentally inflated GPA, transcript verification fear
1ne318p	employer demands LinkedIn hibernation, anti-poaching control tactic
1nz1ivd	career gaps over-penalized, long-term unemployment trap
1lx796l	human screener rarity, AI-filtered applications
1npbu7w	mass applying backfires, outdated contact info costs interviews
1ohexl2	education jargon blocks corporate switch, resume language translation
1tqtaub	wired job requisitions, fake open roles, internal candidate already chosen
1pc53zq	ATS can't parse text boxes, Print vs Save PDF difference
1po0gip	NASA intern still rejected, FAANG layoff competition floods market
1tgx4y4	GPA rounding ethics, ATS GPA cutoff filters
1tk2gm4	stuck in minimum wage cycle, failed cert exam barrier
1o1b9ak	corporate word salad resumes, ATS forces jargon, losing authentic voice
1refk0c	job search despair
1ttrt35	lying about software experience, embellishment vs. outright lying
1m495n7	geographic bias against non-locals, using fake local address
