1okn7vb	buying fake Google reviews, Google Maps flagging, fake reviews attacking competitors
1r9x049	owner is the process, undocumented verbal approvals, single point of failure
1sfawfb	unpaid family business labor, working for free decades, family business exploitation
1o5mfjm	entitlement after free handouts, biting the hand that feeds, homeless customer outburst
1rcbykx	40% price increase results, demanding clients least profitable, undercharging for years
1mk3we6	net-60 return terms risk, boutique chain inventory risk, rejecting dangerous big order
1od7j5k	random discounts erode respect, demanding clients haggle most, stopping discount habit
1qdmgaj	scope creep unpaid hours, 1-star review retaliation, client "nickel and diming" accusation
1mywp7p	tariff destroying export business, 200 employees at risk, furniture import tariff threat
1qfdosp	referral poisoned anchor client, bad client killed relationship, trusting referral over gut
1tn7d00	firing without prior warnings, toxic employee chronic tardiness, surprise termination fallout
1p17d8b	client lied about finances, fake sob story discount, researching client after discount given
1otuw7c	desk job mental health crisis, $70k startup capital options, rural market oversaturation
1tbfwum	clients ghosting en masse, business-wide slowdown 2025, economy freezing new contracts
1rm6jq3	dental no-show lost revenue, phone calls ignored voicemail, text reminders cut no-shows
1oez2al	unpredictable self-employed income, invoice anxiety sleepless nights, cash flow panic solo business
1m0dipl	solo operator uninsured liability, extension cord slip near-lawsuit, small business liability gap
1o8zqpq	50% revenue single nightmare client, last-minute urgent weekend requests, fire or keep dilemma
1ot2azu	fake negative review bombing, companies silencing critical posts, bot-reporting subreddit attacks
1n8j5r6	homeless sleeping outside business, odor management compassionate approach, deodorizer product request
1o3qimp	failed consulting rebrand success, autistic authentic brand resonance, free services nobody wanted
1pdax88	fake expense report theft, bookkeeper missed fraud months, employee quit when caught
1mc4kly	vending machine business sold, $2M exit 32 years, coaching program worthwhile question
1poaanl	competitor ordered product to copy, provisional patent urgency, billion-dollar company reverse engineering
1rb2lh4	25% no-show rate losses, uncle resists deposit system, no-show deposit family disagreement
