1sivput	pain-driven idea validation, enjoyment vs pain business split, founder sells directly early
1t4i6pw	stress evolves not disappears, mediocre hire outsized damage, customer feedback beats advisors
1twro01	Google Cloud project suspension, API key exposed by design, billing limits silently raised
1rz15ui	fake SOC 2 reports, pre-written audit conclusions, YC-backed compliance fraud
1q0flx5	solo founder isolation, dating app slow then accelerating growth
1nwkp7n	build in public feedback experiment, VC access without pitching
1nlnu7z	H1B fee kills startup hiring, big tech talent moat advantage
1oex6aw	vibe-coded MVP sold to bank, no-security server ransomwared, non-technical founder over-relied on AI
1skdb7x	niche to empty-home cleanings only, service business via subcontractors, realtor network as distribution
1r7z763	equity surrendered at exit, CTO wrote entire codebase alone, co-founder conflict over deadlines
1tcvmhu	unpaid internship red flag, HR walked out on revenue question, startup interviewer defensiveness
1lr4dzb	inherited wealth dominates real rich, real estate over tech for wealth
1lw14u1	YC startups automating unwanted tasks, technical founders missing human experience, customer discovery skipped
1ostbi4	elite college hypocrisy, Ivy League networking advantage, degree ROI depends on tier
1sczfjo	SaaS startup bet lost everything, survivorship bias in startup success stories
1pylg24	problem slide wins or loses deck, traction needs context not raw numbers, team slide must answer why you
1mn2g0a	service-first then product, failed startups as education tax, unit economics must survive shocks
1p08qzv	ChatGPT app store empty opportunity, LLM-native distribution shift, platform dependency risk
1r9659a	senior cofounder abandons for salary, paid assessment predicts performance, free users give low-quality feedback
1oi1zhr	Singapore company registration efficiency, middleman opportunity already saturated
1rn45nz	PR agency 80% is executable internally, journalist relationships determine coverage quality, earned media for early startups
1seq609	seven-stage interview at 10-person startup, bloated process signals slow decision-making
1oo7d07	AI lowers moat barriers, distribution the only remaining moat, oversaturated solution market
1lq1axg	real-name identity drove Facebook adoption, MySpace bad UX and autoplaying music killed it
1nxsiwd	co-founder conflict ousted CTO, salaries stopped two months, dry job market while company dies
